station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
42807,Kolkata,1920-05-23,Spring,,,,0.0,,,,,,
80410,Barquisimeto,2014-07-21,Summer,23.3,,,,,,,,,
36870,Almaty,2015-09-28,Autumn,4.3,3.0,6.5,,,,10.1,,,
42647,Gandhinagar,1953-10-24,Autumn,,,,0.0,,,,,,
08080,Vitoria-Gasteiz,2021-09-03,Autumn,17.8,13.6,24.5,0.0,,14.0,6.8,24.1,1017.2,
71863,Regina,1904-08-19,Summer,,7.8,20.0,11.7,,,,,,
23933,Khanty-Mansiysk,1991-02-05,Winter,-19.3,-21.6,-16.6,0.2,,,,,,
01271,Trondheim,1966-02-19,Winter,,-10.0,0.7,0.5,690.0,,,,,
48517,Chumphon,2005-02-23,Winter,28.1,23.5,34.3,0.0,,,,,,
72488,Carson City,1947-03-04,Spring,,-6.1,8.3,0.0,0.0,,,,,
48569,Satun,2007-01-05,Winter,24.9,23.4,30.5,17.8,,,1.3,,,
96221,Palembang,2016-06-06,Winter,27.8,,,,,,,,,
68442,Bloemfontein,2020-08-28,Winter,9.4,-3.4,26.1,,,295.0,8.2,,1015.1,
55591,Lhasa,1967-11-16,Autumn,-3.2,-9.7,6.0,0.0,,,,,,
68449,Hlotse,2012-04-16,Autumn,14.0,5.6,24.1,,,,,,,
34861,Elista,1978-10-20,Autumn,9.1,3.2,17.7,0.0,,,,,,
87222,San Fernando del Valle de Catamarca,1997-08-15,Winter,19.4,,31.4,0.0,,,,,,
68438,Kimberley,2013-12-30,Summer,23.1,13.1,32.2,2.0,,,,,,
06770,Bellinzona,1967-08-06,Summer,,14.3,21.0,14.6,0.0,,,,,
23933,Khanty-Mansiysk,2005-03-24,Spring,-6.7,-10.6,-3.1,0.9,439.0,,,,,
76775,Oaxaca de Juárez,2005-12-13,Winter,22.4,9.4,29.2,0.0,,,,,,
68242,Mmabatho,2009-03-27,Autumn,21.2,15.3,29.1,,,,,,,
08330,Mérida,1962-08-30,Summer,,20.4,38.5,0.0,,,,,,
78741,Managua,2020-10-22,Autumn,26.7,23.0,32.0,,,83.0,7.3,,1009.4,
67775,Harare,2017-02-23,Summer,20.9,,25.3,3.0,,,,,,
38954,Fayzabad,1978-06-27,Summer,24.5,16.7,32.6,0.0,,,,,,
80022,Cartagena,1983-03-14,Spring,26.8,,,,,,,,,
80234,Villavicencio,1985-01-28,Winter,26.9,,,,,,,,,
48456,Pathum Thani,1994-11-29,Autumn,30.7,,,0.0,,,,,,
11012,Linz,1987-05-25,Spring,14.3,7.6,18.9,3.7,,,,,,
17092,Erzincan,1989-01-16,Winter,-5.2,,1.8,0.0,,,,,,
68442,Bloemfontein,2020-06-11,Winter,6.6,2.6,22.8,,,265.0,18.5,,1019.5,
06447,Brussels,1986-12-27,Winter,3.7,1.5,5.1,2.0,,,,,,
87217,La Rioja,2013-02-04,Summer,31.2,22.0,,,,,,,,
37735,Goranboy,1971-10-25,Autumn,10.1,7.3,15.4,4.8,,,,,,
48665,Malacca City,2005-07-30,Summer,28.2,23.1,31.7,2.3,,,6.5,,,
65338,Abomey,2003-01-14,Winter,28.8,24.7,35.4,0.0,,,,,,
71706,Charlottetown,2019-07-19,Summer,20.0,15.2,24.8,0.0,,214.0,13.2,35.0,1009.3,
48376,Tak,1955-07-18,Summer,27.2,23.8,29.3,1.1,,,,,,
38987,Qala i Naw,1927-10-12,Autumn,16.9,7.5,23.6,0.0,,,,,,
10379,Potsdam,2019-10-15,Autumn,15.5,11.5,21.7,0.0,0.0,118.0,11.9,24.8,1005.2,546.0
98328,Baguio,2002-03-21,Spring,20.2,14.4,27.4,,,,,,,
84452,Chiclayo,1964-07-12,Winter,16.7,13.9,22.2,,,,,,,
11035,Vienna,1901-08-10,Summer,,15.8,27.1,0.0,,,,,,
80315,Neiva,1978-09-13,Autumn,31.0,22.0,36.0,0.0,,,,,,
11240,Graz,1967-02-21,Winter,3.1,-0.9,12.4,1.1,,,,,,
63820,Mombasa,2003-10-31,Spring,26.7,22.8,30.9,2.0,,,,,,
17056,Tekirdağ,2013-08-03,Summer,25.3,21.0,,0.0,,,,,,
28748,Chelyabinsk,1959-09-20,Autumn,8.6,3.9,17.3,2.3,,,,,,
11464,Ústí nad Labem,1928-05-24,Spring,,3.9,10.2,,,,,,,
38987,Qala i Naw,2000-06-30,Summer,31.7,22.0,38.1,,,,,,,
40375,Tabuk,2018-01-31,Winter,11.5,2.0,21.0,,,,8.9,,,
67261,Tete,2023-03-06,Autumn,28.3,23.7,34.7,0.3,,122.0,5.9,,1009.6,
36003,Pavlodar,1974-09-14,Autumn,15.8,6.0,24.0,0.0,,,,,,
41571,Islamabad,1988-03-12,Spring,14.3,10.6,21.1,,,,,,,
42309,Itanagar,1918-03-15,Spring,,,,0.0,,,,,,
12942,Pécs,2001-07-26,Summer,22.1,16.6,27.3,0.0,,,,,,
47058,Pyongyang,1996-07-15,Summer,21.4,20.0,,,,,,,,
65592,Harper,1952-09-25,Autumn,,22.2,27.5,1.6,,,,,,
63862,Dodoma,1986-07-20,Winter,22.2,,25.3,,,,,,,
34949,Stavropol,1968-06-06,Summer,10.8,6.0,15.7,0.0,,,,,,
31510,Blagoveshchensk,2020-12-17,Winter,-17.5,-25.2,-13.2,0.0,20.0,,,,,
58457,Hangzhou,2012-09-08,Autumn,26.3,22.7,31.4,1.8,,,6.2,,,
61291,Bamako,2012-01-09,Winter,23.6,12.5,33.4,,,,,,,
48462,Battambang,2018-05-28,Spring,30.6,26.0,,0.0,,,,,,
38687,Türkmenabat,1996-06-27,Summer,29.4,22.2,35.8,0.0,,,,,,
67005,Mamoudzou,1978-08-25,Winter,25.3,20.0,,0.0,,,,,,
76762,Chilpancingo,2007-05-14,Spring,25.2,18.0,35.0,0.0,,,,,,
42403,Paro,1966-10-25,Autumn,,,,0.0,,,,,,
85682,Concepción,1973-05-02,Autumn,11.2,3.0,17.0,0.0,,,,,,
48327,Chiang Mai,1956-12-18,Winter,22.8,15.7,30.3,0.0,,5.0,1.4,,1013.6,
71863,Regina,1925-08-08,Summer,,10.6,24.4,0.5,,,,,,
61277,San,2014-11-12,Autumn,29.2,21.3,38.0,,,,,,,
25913,Magadan,1996-04-19,Spring,-2.3,-6.3,1.4,0.0,,,,,,
40738,Gorgan,1998-11-13,Autumn,12.2,,,,,,,,,
07190,Saint-Pierre,1976-05-21,Spring,13.1,11.0,17.0,0.2,,248.0,10.6,,,
96413,Kuching,1971-02-27,Winter,,23.2,32.2,1.0,,,,,,
60419,Constantine,1983-03-18,Spring,8.1,5.5,10.6,30.0,,,,,,
33837,Odessa,2001-07-09,Summer,25.0,21.4,27.7,0.0,,,,,,
38353,Bishkek,1991-12-17,Winter,0.5,-3.7,4.2,8.9,,,,,,
47159,Busan,1986-08-30,Summer,25.2,19.7,31.1,,,,,,,
58847,Taipei,2017-11-01,Autumn,20.6,15.6,24.0,,,,,,1019.0,
91765,Apia,1970-11-22,Spring,,22.2,30.6,0.0,0.0,,,18.4,,444.0
63740,Nyeri,2001-11-15,Spring,17.7,,21.6,13.0,,,,,,
60020,Santa Cruz de Tenerife,2021-02-01,Winter,19.5,17.0,22.5,0.0,,350.0,6.9,,1022.2,
91938,Papeete,2019-07-23,Winter,26.6,24.1,29.0,0.0,,61.0,22.2,,1013.8,
82098,Macapá,2010-06-29,Summer,27.9,25.0,31.0,,,,4.5,,,
85864,Puerto Aisén,2003-04-11,Autumn,10.2,0.0,17.3,,,,,,,
33837,Odessa,1907-03-15,Spring,-3.7,,,0.0,,,,,,
60468,Batna,2012-12-15,Winter,6.3,-3.4,17.3,0.0,,,10.5,,,
78663,San Salvador,2018-06-07,Summer,24.7,20.1,29.6,29.2,,,,,,
42807,Kolkata,1952-01-04,Winter,,,,0.0,,,,,,
78388,Montego Bay,1994-12-02,Winter,27.4,23.5,30.7,1.0,,,,,,
61075,Sokoto,1974-11-21,Autumn,,18.2,31.9,0.0,,,,,,
87155,Resistencia,1982-10-11,Spring,19.6,9.8,28.4,0.0,,,,,,
27595,Kazan,1989-04-15,Spring,0.5,-0.4,1.2,1.9,,,,,,
48097,Yangon,2007-06-30,Summer,26.1,23.0,,,,,,,,
37212,Nalchik,2022-08-04,Summer,26.0,19.0,33.0,1.0,,332.0,7.7,,1013.4,
38987,Qala i Naw,1939-05-24,Spring,20.2,9.7,26.7,0.0,,,,,,
85682,Concepción,2011-09-29,Spring,11.9,6.0,16.7,0.0,,,13.5,,,
27835,Ryazan,2021-12-04,Winter,-2.2,-3.3,7.0,5.1,10.0,256.0,17.5,,1008.2,
33301,Rivne,2002-02-06,Winter,1.1,,,,,,,,,
91212,Hagåtña,2007-12-27,Winter,27.3,23.3,31.1,0.3,0.0,,13.7,,1009.2,
72552,The Valley,1990-05-26,Spring,18.4,13.9,23.3,0.0,0.0,,14.8,31.3,1011.7,
38836,Dushanbe,1932-12-04,Winter,4.1,-0.7,9.2,1.7,,,,,,
76750,Chetumal,1975-07-04,Summer,30.3,,,,,,,,,
37815,Gədəbəy,1985-04-09,Spring,2.6,-3.0,,0.6,61.0,,,,,
51463,Ürümqi,1966-11-19,Autumn,-6.9,-10.6,-3.3,0.0,,,,,,
01465,Arendal,1978-07-09,Summer,13.8,10.6,15.6,1.2,,,,,,
27459,Nizhny Novgorod,1941-03-19,Spring,-14.0,-19.4,-9.5,0.5,,,,,,
58457,Hangzhou,2017-06-12,Summer,20.8,19.8,21.0,38.9,,86.0,14.1,,1009.6,
72340,Little Rock,1978-10-25,Autumn,,12.8,20.0,3.8,0.0,,,,,132.0
16325,Bari,1987-06-26,Summer,20.9,15.0,25.2,0.0,,,,,,
06720,Sion,1964-01-19,Winter,,,,0.0,0.0,,,,,
72641,Madison,1983-03-12,Spring,-0.8,-9.4,6.7,0.0,0.0,,7.7,25.9,1017.6,678.0
84628,Callao,2003-08-27,Winter,14.9,13.9,17.0,0.0,,,6.3,,1014.1,
D5731,Schaffhausen,1972-11-07,Autumn,4.7,1.4,6.2,0.1,0.0,,,,,
13463,Podgorica,2003-12-01,Winter,11.1,6.2,19.0,0.0,,,,,,
17260,Gaziantep,1994-09-08,Autumn,25.9,19.6,,0.0,,,,,,
16716,Athens,1973-10-19,Autumn,23.3,18.8,28.7,0.0,,14.0,5.9,,,
37549,Tbilisi,2004-05-06,Spring,16.9,,,,,,,,,
29642,Kemerovo,2014-09-05,Autumn,7.2,2.0,12.0,,,19.0,14.3,,,
96315,Bandar Seri Begawan,2007-08-14,Summer,27.5,,32.3,0.0,,,,,,
71706,Charlottetown,1974-07-26,Summer,,13.9,24.4,0.0,0.0,,,,,
29631,Novosibirsk,1994-05-04,Spring,17.4,7.7,24.5,0.0,,,,,,
78367,Guantánamo,1947-03-19,Spring,25.6,22.2,30.0,0.0,,29.0,13.4,,1015.7,
63971,Mtwara,1959-08-31,Winter,25.1,,,0.0,,,,,,
26850,Minsk,2007-06-09,Summer,22.0,14.4,27.6,0.0,,,,,,
61698,Kolda,1994-06-23,Summer,30.6,25.4,35.4,,,,,,,
96011,Banda Aceh,2018-07-31,Summer,28.5,23.8,34.6,,,285.0,8.2,,1009.7,
40821,Yazd,1990-06-26,Summer,31.2,25.4,,,,,,,,
84401,Piura,1996-03-25,Autumn,25.9,21.0,33.5,0.0,,,,,,
72551,Lincoln,1962-12-18,Winter,2.2,-4.4,12.8,,,,1.1,,,
68024,Ghanzi,2010-10-05,Spring,28.7,21.7,34.8,,,,,,,
80370,Tulcán,2012-12-18,Winter,13.6,5.0,,,,,,,,
48887,Phan Thiet,1963-02-20,Winter,24.3,,27.2,,,,,,,
78650,Sonsonate,1966-11-23,Autumn,28.1,20.0,32.2,,,,,,,
68471,Mokhotlong,1941-12-31,Summer,,,,0.0,,,,,,
17116,Bursa,1991-01-03,Winter,5.5,,7.8,11.9,,,,,,
96253,Bengkulu,2005-10-25,Spring,25.7,,30.2,,,,,,,
60444,Bordj Bou Arréridj,2006-03-20,Spring,12.8,5.5,19.7,0.0,,,,,,
01403,Stavanger,1970-07-05,Summer,,10.0,13.0,,,,,,,
06680,Vaduz,1906-02-04,Winter,,-18.0,-13.1,4.6,,,,,,
35108,Oral,1937-03-15,Spring,-3.7,-7.0,-0.2,0.0,,,,,,
16219,L'Aquila,1978-08-10,Summer,8.7,7.0,12.0,0.0,,,,,,
61998,Port-aux-Français,1983-12-26,Summer,13.1,5.2,,2.0,,,,,,
48565,Phang Nga,2014-05-31,Spring,28.0,22.8,32.2,0.0,,,,,,
34880,Astrakhan,1914-10-29,Autumn,1.3,-2.4,4.4,0.0,,,,,,
16064,Milan,1983-07-26,Summer,26.9,,,,,,,,,
61695,Ziguinchor,1977-01-22,Winter,25.8,15.0,34.0,0.0,,,,,,
43279,Chennai,1903-09-19,Autumn,,,,0.0,,,,,,
17280,Diyarbakır,1981-10-19,Autumn,15.4,10.0,25.0,0.0,,,,,,
16253,Naples,2022-12-05,Winter,11.3,6.6,18.6,0.0,,29.0,7.0,,1020.7,
60150,Meknes,1973-05-14,Spring,23.8,14.0,35.0,,,,,,,
42111,Dehradun,1942-05-14,Spring,,,,8.6,,,,,,
67475,Kasama,1975-07-03,Winter,,,,0.0,,,,,,
16239,Rome,1966-05-19,Spring,,8.2,22.2,0.4,,,,,,
72327,Nashville,1994-12-06,Winter,13.8,10.6,16.7,0.0,0.0,201.0,11.2,40.7,1021.1,8.0
71200,Victoria,1912-03-14,Spring,,1.7,10.0,1.8,,,,,,
